LevelDB:    version 1.23
Date:       Thu Jul 30 08:18:54 2026
CPU:        32 * 13th Gen Intel(R) Core(TM) i9-13980HX
CPUCache:   36864 KB
... finished 100 ops                              
... finished 200 ops                              
... finished 300 ops                              
... finished 400 ops                              
... finished 500 ops                              
... finished 600 ops                              
... finished 700 ops                              
... finished 800 ops                              
... finished 900 ops                              
... finished 1000 ops                              
... finished 1500 ops                              
... finished 2000 ops                              
... finished 2500 ops                              
... finished 3000 ops                              
... finished 3500 ops                              
... finished 4000 ops                              
... finished 4500 ops                              
... finished 5000 ops                              
... finished 6000 ops                              
... finished 7000 ops                              
... finished 8000 ops                              
... finished 9000 ops                              
... finished 10000 ops                              
... finished 15000 ops                              
... finished 20000 ops                              
... finished 25000 ops                              
... finished 30000 ops                              
... finished 35000 ops                              
... finished 40000 ops                              
long op: 34155.0 micros                              
... finished 45000 ops                              
long op: 20778.0 micros                              
long op: 30684.0 micros                              
long op: 22696.0 micros                              
... finished 50000 ops                              
long op: 24817.0 micros                              
long op: 30255.0 micros                              
... finished 60000 ops                              
long op: 40775.0 micros                              
long op: 28983.0 micros                              
long op: 28258.0 micros                              
long op: 23525.0 micros                              
long op: 76848.0 micros                              
long op: 21778.0 micros                              
... finished 70000 ops                              
long op: 21624.0 micros                              
... finished 80000 ops                              
long op: 42774.0 micros                              
long op: 4318333.0 micros                              
long op: 20796.0 micros                              
long op: 1150835.0 micros                              
... finished 90000 ops                              
... finished 100000 ops                              
long op: 27616.0 micros                              
long op: 21079.0 micros                              
long op: 30506.0 micros                              
long op: 23034.0 micros                              
long op: 29062.0 micros                              
long op: 31001.0 micros                              
long op: 21364.0 micros                              
long op: 29360.0 micros                              
long op: 24905.0 micros                              
long op: 41791.0 micros                              
long op: 26330.0 micros                              
long op: 21459.0 micros                              
long op: 29042.0 micros                              
long op: 24592.0 micros                              
long op: 27216.0 micros                              
long op: 28969.0 micros                              
long op: 20462.0 micros                              
long op: 24175.0 micros                              
long op: 33230.0 micros                              
long op: 23908.0 micros                              
long op: 27133.0 micros                              
long op: 22166.0 micros                              
long op: 28347.0 micros                              
long op: 35223.0 micros                              
long op: 33464.0 micros                              
long op: 37162.0 micros                              
long op: 27681.0 micros                              
long op: 21975.0 micros                              
